iter	Accuracy	MultiClass
487	0.8126585397	0.5126707879
488	0.812744336	0.5124623022
489	0.812739169	0.5122463249
490	0.8128318149	0.5120986014
491	0.8129656504	0.5118762654
492	0.8129962781	0.5116607313
493	0.81290381	0.5114781255
494	0.8130324282	0.5112705308
495	0.8130955146	0.5110755745
496	0.8131254623	0.5109409487
497	0.81318936	0.5107709974
498	0.8132535648	0.510629357
499	0.8131954832	0.5103806645
500	0.8131954832	0.510197187
501	0.8132236672	0.5098943823
502	0.8133572092	0.5097025948
503	0.8136206037	0.5093944245
504	0.813580824	0.5092456277
505	0.8137013951	0.509060491
506	0.8137834809	0.5088664794
507	0.813944301	0.5086434162
508	0.8141309217	0.5084616966
509	0.8141478967	0.5082797142
510	0.8142372877	0.5081081814
511	0.8143458887	0.5078115732
512	0.8144585537	0.5076246682
513	0.8145293029	0.5074288141
514	0.8144495815	0.5071972025
515	0.8143967152	0.5070108281
516	0.8145084416	0.5068128333
517	0.8147066925	0.5066514396
518	0.8147554462	0.5064829769
519	0.8147165262	0.5062905721
520	0.8147275092	0.5060839928
521	0.8148431239	0.505908486
522	0.8150409055	0.5056654008
523	0.8150788868	0.5055418584
524	0.815172506	0.5053693552
525	0.8151491993	0.5052194739
526	0.8151367925	0.5050204455
527	0.815316869	0.5048523971
528	0.8153943245	0.5046893652
529	0.8155660119	0.5045194922
530	0.8158292286	0.5043456032
531	0.815992187	0.5041516882
532	0.8157616551	0.5039288278
533	0.8158617356	0.5037420875
534	0.8159553222	0.5035540368
535	0.8158561803	0.5033709097
536	0.8158761185	0.5031907934
537	0.8160499441	0.5030129769
538	0.8160536219	0.5028083124
539	0.8161443419	0.5025896897
540	0.8162029412	0.502437447
541	0.8163020019	0.5022393226
542	0.816274969	0.5020924195
543	0.8166321933	0.5019199736
544	0.8166591452	0.5017665912
545	0.8166215522	0.501576837
546	0.8166662071	0.5013669559
547	0.8167882347	0.5011973445
548	0.81666206	0.5010445651
549	0.8167266859	0.5008965463
550	0.8169641503	0.5007108614
551	0.8169682491	0.5005584432
552	0.8170395141	0.5004177259
553	0.8171788585	0.5002714365
554	0.8172340735	0.5001640974
555	0.8173465282	0.4999070177
556	0.8174249708	0.4997447823
557	0.8176079002	0.4995962394
558	0.81768665	0.4993882512
559	0.8175773691	0.4992461809
560	0.8177141523	0.499077502
561	0.8178745842	0.4989110118
562	0.8178621446	0.4987079716
563	0.81795808	0.4985502125
564	0.8179442304	0.498428655
565	0.8179354203	0.4982823912
566	0.8180577067	0.4980495404
567	0.8181142507	0.4978684498
568	0.8182117719	0.4977379146
569	0.818278455	0.4976298739
570	0.818337008	0.4975155724
571	0.8183615626	0.497337897
572	0.818451002	0.4971841289
573	0.8184052788	0.4970369136
574	0.8184563487	0.4969036711
575	0.8185512622	0.4967541633
576	0.8188385159	0.4966051895
577	0.8187465171	0.4964400222
578	0.8188931321	0.4962792068
579	0.8189090872	0.4961333769
580	0.8192316335	0.4959451718
581	0.8192123424	0.4957969982
582	0.8193419824	0.4956390568
583	0.819383429	0.4955323011
584	0.8193554573	0.4953112285
585	0.8194445084	0.4951698898
586	0.8195066561	0.495044197
587	0.8193990924	0.494907866
588	0.8194741974	0.4947562192
589	0.819497425	0.494614373
590	0.81938233	0.4944879222
591	0.8195328489	0.4943550887
592	0.8197165064	0.4941617746
593	0.8197338369	0.4940159559
594	0.8196876444	0.4938837044
595	0.8196636075	0.4937428464
596	0.8197950458	0.4935984278
597	0.8198660383	0.4934580904
598	0.8199377262	0.4933291437
599	0.8199376451	0.4932193497
600	0.8200897015	0.4930518582
601	0.820171399	0.4928733481
602	0.8202709291	0.4927124191
603	0.8202780722	0.4925507409
604	0.8204100283	0.4924023265
605	0.820362814	0.4922978854
606	0.8206176416	0.4921543594
607	0.8206625071	0.4920468691
608	0.8206842763	0.4918943972
609	0.820708831	0.4917713727
610	0.8209113101	0.4916363164
611	0.821023247	0.4914802784
612	0.8212338564	0.4913512849
613	0.821263495	0.4912279359
614	0.8213151637	0.4910692807
